Marca temporal,¿En qué semestre te encuentras actualmente?,¿Te has sentido desmotivado(a) para continuar tus estudios en el ITD en los últimos 6 meses?,¿Alguna vez has considerado abandonar la carrera?,¿Presentas dificultades económicas para cubrir tus gastos escolares?,¿Tienes un empleo además de estudiar?,¿Consideras que tus responsabilidades laborales afectan tu rendimiento académico?,¿Has reprobado alguna materia en el último semestre escolar?,¿Te sientes apoyado/a por el personal docente y administrativo del ITD?,¿Cómo calificarías tu satisfacción con los servicios del ITD?,"¿Participas en actividades extracurriculares (deporte, cultura, talleres) dentro del ITD?",Dirección de correo electrónico
1/10/2025 11:42:40,7mo o más,No,Sí,No,"Sí, medio tiempo",Algo,No,Algunas veces,Insatisfecho/a,Algunas veces,
1/10/2025 11:43:34,7mo o más,No,Sí,Sí,"Sí, medio tiempo",Algo,No,Siempre,Insatisfecho/a,"Sí, frecuentemente",
1/10/2025 11:46:31,1er - 3er,Si,Sí,Sí,No,Algo,No,Algunas veces,Insatisfecho/a,Nunca,
1/10/2025 11:47:15,1er - 3er,Si,No,Sí,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Algunas veces,
1/10/2025 11:48:23,7mo o más,No,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
1/10/2025 11:48:45,1er - 3er,No,No,No,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,"Sí, frecuentemente",
1/10/2025 11:54:06,7mo o más,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
1/10/2025 11:55:59,7mo o más,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
1/10/2025 12:04:17,7mo o más,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,"Sí, frecuentemente",
1/10/2025 12:06:17,1er - 3er,Si,No,No,No,No afecta/No trabajo,No,Nunca,Insatisfecho/a,Algunas veces,
1/10/2025 12:07:06,7mo o más,Si,No,Sí,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Nunca,
1/10/2025 12:07:50,4to - 6to,Si,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
1/10/2025 12:08:05,4to - 6to,No,No,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
